commonName,lat,lon
"River Street , Clerkenwell",51.529163,-0.10997000000000001
"Phillimore Gardens, Kensington",51.499606,-0.197574
"Christopher Street, Liverpool Street",51.521283,-0.084605
"St. Chad's Street, King's Cross",51.530059,-0.120973
"Broadcasting House, Marylebone",51.518117,-0.144228
"Charlbert Street, St. John's Wood",51.5343,-0.168074
"Maida Vale, Maida Vale",51.529857,-0.18348599999999998
"New Globe Walk, Bankside",51.507385,-0.09644000000000001
"Park Street, Bankside",51.505974,-0.09275399999999999
"Brunswick Square, Bloomsbury",51.523951,-0.122502
"Malet Street, Bloomsbury",51.52168,-0.130431
"Scala Street, Fitzrovia",51.519914,-0.136039
"Belgrove Street , King's Cross",51.529943,-0.12361599999999999
"Great Russell Street, Bloomsbury",51.517727,-0.127854
"Cartwright Gardens , Bloomsbury",51.526357,-0.125979
"Hatton Wall, Holborn",51.521661,-0.10900599999999999
"Drury Lane, Covent Garden",51.51477,-0.122219
"Taviton Street, Bloomsbury",51.52505,-0.131161
"Drummond Street , Euston",51.527326,-0.136052
"Lansdowne Drive, Hackney Central",51.539834,-0.062806
"Northington Street , Holborn",51.522264,-0.114079
"Red Lion Square, Holborn",51.519435,-0.11912299999999999
"British Museum, Bloomsbury",51.51908,-0.124678
"Doric Way , Somers Town",51.528833,-0.13225
"Ampton Street , Clerkenwell",51.52728,-0.118295
"Bouverie Street, Temple",51.513821,-0.107927
"Bolsover Street, Fitzrovia",51.523518,-0.143613
"Hereford Road, Bayswater",51.513735,-0.193487
"Windsor Terrace, Hoxton",51.529154,-0.09342099999999999
"Fanshaw Street, Hoxton",51.529537,-0.083353
"Leonard Circus , Shoreditch",51.524696,-0.084439
"Pancras Road, King's Cross",51.534123,-0.129386
"De Vere Gardens, Kensington",51.501737,-0.18498
"Penywern Road, Earl's Court",51.491593,-0.19236899999999998
"Abingdon Villas, Kensington",51.497387,-0.197245
"Shoreditch High Street, Shoreditch",51.526377,-0.07813
"Commercial Street, Shoreditch",51.52127,-0.07557799999999999
"Pindar Street, Liverpool Street",51.520955,-0.083493
"Wenlock Road , Hoxton",51.530991,-0.093903
"Crawford Street, Marylebone",51.52026,-0.157183
"Bruton Street, Mayfair",51.510736,-0.144165
"Boston Place, Marylebone",51.522511,-0.162298
"Nesham Street, Wapping",51.507131,-0.06691000000000001
"Warwick Avenue Station, Maida Vale",51.523344,-0.18384599999999998
"Godliman Street, St. Paul's",51.512484,-0.09914099999999999
"Curzon Street, Mayfair",51.507069,-0.145904
"East Road, Hoxton",51.528673,-0.087459
"Finsbury Library , Finsbury",51.526717,-0.104298
"Roscoe Street, St. Luke's",51.522954,-0.09493399999999999
"Grafton Street, Mayfair",51.509992,-0.14349499999999998
"Golden Lane, Barbican",51.521747,-0.09447499999999999
"Finsbury Circus, Liverpool Street",51.517075,-0.086685
"Paddington Street, Marylebone",51.520583,-0.154701
"Guilford Street , Bloomsbury",51.523346,-0.12020199999999999
"New Inn Yard, Shoreditch",51.524526,-0.079248
"Lisson Grove, St. John's Wood",51.526448,-0.17219
"Great Dover Street, The Borough",51.497382,-0.089446
"Cotton Garden Estate, Kennington",51.490757,-0.106323
"Murray Grove , Hoxton",51.53089,-0.089782
"William IV Street, Strand",51.509462,-0.124749
"Gower Place , Euston",51.525227,-0.135188
"Holborn Circus, Holborn",51.51795,-0.10865699999999999
"Hatton Garden, Holborn",51.518825,-0.108028
"Theobald's Road , Holborn",51.520596,-0.116688
"Euston Road, Euston",51.526236,-0.134407
"Calshot Street , King's Cross",51.53136,-0.11706899999999999
"Newgate Street , St. Paul's",51.515418,-0.09885000000000001
"Farringdon Lane, Clerkenwell",51.52352,-0.10834
"Old Street Station, St. Luke's",51.52548,-0.089659
"Vauxhall Cross, Vauxhall",51.485917,-0.124469
"Torrens Street, Angel",51.532199,-0.10548
"Longford Street, The Regent's Park",51.525595,-0.144083
"Russell Square Station, Bloomsbury",51.523418,-0.124121
"Sadlers Sports Centre, Finsbury",51.524868,-0.099489
"Arundel Street, Temple",51.511726,-0.113855
"Webber Street , Southwark",51.500693,-0.102091
"Great Titchfield Street, Fitzrovia",51.520253,-0.14132699999999998
"Chancery Lane, Holborn",51.514274,-0.111257
"Panton Street, West End",51.509639,-0.13151000000000002
"Breams Buildings, Holborn",51.515937,-0.11177799999999999
"Tanner Street, Bermondsey",51.500647,-0.0786
"Wellington Street , Strand",51.511756,-0.119643
"Risinghill Street, Angel",51.533319,-0.11178099999999999
"Bank of England Museum, Bank",51.514441,-0.087587
"Craven Street, Strand",51.508103,-0.126021
"London Zoo Car Park, The Regent's Park",51.536922,-0.15018099999999998
"Goswell Road (City Uni), Finsbury",51.528246,-0.10102599999999999
"Flood Street, Chelsea",51.488023,-0.166878
"Lower Marsh, Waterloo",51.500139,-0.113936
